displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
Common/Long-legged Buzzard,Common/Long-legged Buzzard,Buteo buteo/rufinus,y01024,slash,y01024,slash,False
Buteo sp.,Buteo sp.,Buteo sp.,buteo,spuh,buteo,spuh,False
Buteo/eagle sp.,Buteo/eagle sp.,Buteo/eagle sp.,y00221,spuh,y00221,spuh,False
hawk sp.,hawk sp.,Accipitridae sp. (hawk sp.),hawk,spuh,hawk,spuh,False
eagle sp.,eagle sp.,Accipitridae sp. (eagle sp.),eagle1,spuh,eagle1,spuh,False
Barn Owl,Barn Owl,Tyto alba,brnowl,species,brnowl,species,True
Eurasian Scops-Owl,Eurasian Scops-Owl,Otus scops,eursco1,species,eursco1,species,True
scops-owl sp.,scops-owl sp.,Otus sp.,otus1,spuh,otus1,spuh,False
Eurasian Eagle-Owl,Eurasian Eagle-Owl,Bubo bubo,eueowl1,species,eueowl1,species,True
Little Owl,Little Owl,Athene noctua,litowl1,species,litowl1,species,True
Tawny Owl,Tawny Owl,Strix aluco,tawowl1,species,tawowl1,species,True
Long-eared Owl,Long-eared Owl,Asio otus,loeowl,species,loeowl,species,True
Short-eared Owl,Short-eared Owl,Asio flammeus,sheowl,species,sheowl,species,True
Long-eared/Short-eared Owl,Long-eared/Short-eared Owl,Asio otus/flammeus,y00673,slash,y00673,slash,False
Asio sp.,Asio sp.,Asio sp.,asio1,spuh,asio1,spuh,False
Boreal Owl,Boreal Owl,Aegolius funereus,borowl,species,borowl,species,True
owl sp.,owl sp.,Strigiformes sp.,owl1,spuh,owl1,spuh,False
Eurasian Hoopoe,Eurasian Hoopoe,Upupa epops,hoopoe,species,hoopoe,species,True
Common Kingfisher,Common Kingfisher,Alcedo atthis,comkin1,species,comkin1,species,True
Belted Kingfisher,Belted Kingfisher,Megaceryle alcyon,belkin1,species,belkin1,species,True
Blue-cheeked Bee-eater,Blue-cheeked Bee-eater,Merops persicus,bcbeat1,species,bcbeat1,species,True
European Bee-eater,European Bee-eater,Merops apiaster,eubeat1,species,eubeat1,species,True
European Roller,European Roller,Coracias garrulus,eurrol1,species,eurrol1,species,True
Abyssinian Roller,Abyssinian Roller,Coracias abyssinicus,abyrol2,species,abyrol2,species,True
Eurasian Wryneck,Eurasian Wryneck,Jynx torquilla,eurwry,species,eurwry,species,True
Middle Spotted Woodpecker,Middle Spotted Woodpecker,Dendrocoptes medius,miswoo1,species,miswoo1,species,True
White-backed Woodpecker,White-backed Woodpecker,Dendrocopos leucotos,whbwoo1,species,whbwoo1,species,True
Great Spotted Woodpecker,Great Spotted Woodpecker,Dendrocopos major,grswoo,species,grswoo,species,True
Dendrocopos sp.,Dendrocopos sp.,Dendrocopos sp.,dendro1,spuh,dendro1,spuh,False
Lesser Spotted Woodpecker,Lesser Spotted Woodpecker,Dryobates minor,leswoo1,species,leswoo1,species,True
Eurasian Green Woodpecker,Eurasian Green Woodpecker,Picus viridis,eugwoo2,species,eugwoo2,species,True
Iberian Green Woodpecker,Iberian Green Woodpecker,Picus sharpei,grnwoo3,species,grnwoo3,species,True
Picus sp.,Picus sp.,Picus sp.,picus1,spuh,picus1,spuh,False
Black Woodpecker,Black Woodpecker,Dryocopus martius,blawoo1,species,blawoo1,species,True
woodpecker sp.,woodpecker sp.,Picidae sp.,woodpe1,spuh,woodpe1,spuh,False
Lesser Kestrel,Lesser Kestrel,Falco naumanni,leskes1,species,leskes1,species,True
Eurasian Kestrel,Eurasian Kestrel,Falco tinnunculus,eurkes,species,eurkes,species,True
Lesser/Eurasian Kestrel,Lesser/Eurasian Kestrel,Falco naumanni/tinnunculus,y00613,slash,y00613,slash,False
Red-footed Falcon,Red-footed Falcon,Falco vespertinus,reffal1,species,reffal1,species,True
Eleonora's Falcon,Eleonora's Falcon,Falco eleonorae,elefal1,species,elefal1,species,True
Merlin,Merlin,Falco columbarius,merlin,species,merlin,species,True
Eurasian Hobby,Eurasian Hobby,Falco subbuteo,eurhob,species,eurhob,species,True
Peregrine Falcon,Peregrine Falcon,Falco peregrinus,perfal,species,perfal,species,True
large falcon sp.,large falcon sp.,Falco sp. (large falcon sp.),larfal,spuh,larfal,spuh,False
small falcon sp.,small falcon sp.,Falco sp. (small falcon sp.),smafal,spuh,smafal,spuh,False
falcon sp.,falcon sp.,Falco sp.,falcon,spuh,falcon,spuh,False
diurnal raptor sp.,diurnal raptor sp.,Accipitriformes/Falconiformes sp.,diurap1,spuh,diurap1,spuh,False
Cockatiel,Cockatiel,Nymphicus hollandicus,cockat,species,cockat,species,True
Cockatiel (Domestic type),Cockatiel (Domestic type),Nymphicus hollandicus (Domestic type),cockat1,domestic,cockat1,domestic,False
Rose-ringed Parakeet,Rose-ringed Parakeet,Psittacula krameri,rorpar,species,rorpar,species,True
Plum-headed Parakeet,Plum-headed Parakeet,Psittacula cyanocephala,plhpar1,species,plhpar1,species,True
Psittacula sp.,Psittacula sp.,Psittacula sp.,psitta1,spuh,psitta1,spuh,False
Budgerigar (Domestic type),Budgerigar (Domestic type),Melopsittacus undulatus (Domestic type),budger1,domestic,budger1,domestic,False
Rosy-faced Lovebird,Rosy-faced Lovebird,Agapornis roseicollis,peflov,species,peflov,species,True
